"","OID","PLT_CN","LAT","LON","TIME_INT","ai_et0_NAD","SOC5_15NAD","SOC0_5_NAD","N5_15_NAD","N0_5_NAD","wc2_1_30s_","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end"
"1",-1,20333471010500,30.217986,-84.427137,7,9656,157,526,477,1383,19.5708008,28,7.79,3.59435173299101,46.9621129653402,0.9656,225,354
"2",-1,20304460010500,28.625735,-81.689058,7,7141,-9999,-9999,-9999,-9999,21.7791996,-999.9,-99.99,10,86.754,NA,NA,NA
"3",-1,20271309010500,27.517255,-82.385035,6,7211,450,604,1368,1734,22.6166992,50.1333333333333,14.9,3.36465324384787,45.535225950783,0.7211,12,12
"4",-1,289515834490000,27.670665,-81.354235,12,6927,639,548,1061,1330,22.3999996,60.8666666666667,11.5066666666667,5.28968713789108,57.4935365005794,0.6927,6,12
"5",-1,289515455490000,26.952103,-81.752718,11,7113,724,531,1098,1589,22.7999992,65.9666666666667,12.6166666666667,5.22853368560106,57.1136512549538,0.7113,225,186
"6",-1,374860903490000,30.577429,-85.099417,13,9203,100,332,106,571,19.2749996,17.7333333333333,2.61,6.79438058748404,66.8406922094508,0.9203,75,120
"7",-1,374861993490000,27.835605,-80.526395,13,7016,494,475,1229,1381,22.5167007,48.7666666666667,12.7966666666667,3.810888252149,48.3072378223496,0.7016,81,12
"8",-1,218219098020000,30.37141,-82.652928,6,8389,130,490,199,1534,19.8458004,25,6.44,3.88198757763975,48.7489068322981,0.8389,75,117
"9",-1,218217950020000,30.516932,-85.165759,6,9206,100,321,316,1360,19.3582993,17.3666666666667,6.64,2.61546184738956,40.8812489959839,0.9206,42,96
"10",-1,218218431020000,28.339762,-81.105866,5,7232,1044,937,1363,1621,21.9750004,100.833333333333,14.49,6.95882217621348,67.8622033586381,0.7232,87,30
"11",-1,289515800490000,29.390046,-81.796209,5,7859,165,329,569,1783,20.7332993,21.9666666666667,9.73666666666667,2.25607668606642,38.6487483738446,0.7859,36,36
"12",-1,289515153490000,29.937359,-84.635256,6,9385,162,708,610,1542,20,34.4,9.20666666666667,3.73642288196959,47.8446589427951,0.9385,150,249
"13",-1,289514949490000,30.399563,-84.482698,5,9702,141,555,335,1407,19.3792,27.9,6.92333333333333,4.02985074626866,49.6674328358209,0.9702,84,84
"14",-1,289514998490000,30.147477,-84.991462,5,9744,146,463,578,1318,19.7000008,25.1666666666667,8.24666666666667,3.0517380759903,43.5913969280517,0.9744,165,165
"15",-1,289515165490000,30.513087,-86.86226,5,9975,171,399,167,528,19.5,24.7,2.87333333333333,8.59628770301624,78.0341392111369,0.9975,54,54
"16",-1,289515918490000,27.975033,-81.07311,6,7003,654,716,646,893,22.2374992,67.4666666666667,7.28333333333333,9.26315789473684,82.1767368421053,0.7003,12,24
"17",-1,374861301490000,30.221066,-82.477845,5,8428,143,551,251,1477,19.8666992,27.9,6.59666666666667,4.22940879231935,50.9070874178878,0.8428,12,12
"18",-1,374860899490000,30.808299,-85.003135,6,8741,120,554,184,583,19.3917007,26.4666666666667,3.17,8.34910620399579,76.4986477392219,0.8741,183,255
"19",-1,374862320490000,30.267277,-84.979594,7,9554,156,383,326,1452,19.5457993,23.1666666666667,7.01333333333333,3.3032319391635,45.1536768060837,0.9554,318,330
"20",-1,374860942490000,30.486311,-86.736063,5,9929,122,405,162,414,19.5832996,21.6333333333333,2.46,8.7940379403794,79.2625636856368,0.9929,42,42
"21",-1,374861009490000,30.940439,-86.994746,5,10524,133,381,108,429,18.6417007,21.5666666666667,2.15,10.031007751938,86.9466201550388,1.0524,81,168
"22",-1,374861805490000,27.384247,-82.103219,7,7393,182,423,578,1205,22.4832993,26.2333333333333,7.87,3.33333333333333,45.3406666666667,0.7393,72,24
"23",-1,374861881490000,28.01776,-80.889423,5,7076,412,632,801,1310,22.1833,48.5333333333333,9.70666666666667,5,55.694,0.7076,18,18
